costal	k ɑ s t l̩
antwerp	æ n t w ɝ p
liger	l a ɪ ɡ ɚ
instruct	ɪ n s t ɹ ʌ k t
hills	h ɪ l z
disruption	d ɪ s ɹ ʌ p ʃ ə n
condense	k ə n d ɛ n s
chlormethine	k l ɔ ɹ m ə θ i n
skype	s k a ɪ p
assoil	ə s ɔ ɪ l
arrears	ə ɹ ɪ ə ɹ z
coath	k o ʊ θ
heartbeat	h ɑ ɹ t b i t
hysteric	h ɪ s t ɛ ɹ ɪ k
yelped	j ɛ l p t
appreciable	ə p ɹ i ʃ ə b l
glaze	ɡ l e ɪ z
sinophobic	s a ɪ n ə f o ʊ b ɪ k
helve	h ɛ l v
swop	s w ɑ p
lode	l o ʊ d
acceptant	æ k s ɛ p t ə n t
enormity	ɪ n ɔ ɹ m ɪ t i
slava	s l ɑ v ə
peptidomimetic	p ɛ p t a ɪ d o ʊ m ɪ m ɛ t ɪ k
locate	l o ʊ k e ɪ t
electrical	ɪ l ɛ k t ɹ ɪ k ə l
hand	h æ n d
patrolled	p ə t ɹ o ʊ l d
concomitant	k ə n k ɑ m ə t ə n t
clippings	k l ɪ p ɪ ŋ z
reak	ɹ i k
colleague	k ɑ l i ɡ
postcognition	p o ʊ s t k ɔ ɡ n ɪ ʃ ə n
pharmacologist	f ɑ ɹ m ə k ɔ l ə d͡ʒ ɪ s t
knelt	n ɛ l t
baronage	b æ ɹ ə n ɪ d͡ʒ
tetrahydrocannabinol	t ɛ t ɹ ə h a ɪ d ɹ ə k ə n æ b ə n ɔ l
daedal	d i d ə l
raster	ɹ æ s t ɚ
celesta	s ə l ɛ s t ə
mereology	m ɪ ə ɹ i ɔ l ə d͡ʒ i
premium	p ɹ i m i ə m
gallienus	ɡ æ l i ɛ n ə s
burley	b ɜ ɹ l i
beckoned	b ɛ k ə n d
hormone	h ɔ ɹ m o ʊ n
matilda	m ə t ɪ l d ə
centromere	s ɛ n t ɹ ə m i ɚ
iatmul	j ɑ t m ʊ l
computing	k ə m p j u t ɪ ŋ
realm	ɹ ɛ l m
located	l o ʊ k e ɪ t ɪ d
tapestry	t æ p ə s t ɹ i
promoting	p ɹ ə m o ʊ t ɪ ŋ
erratically	ɪ ɹ æ t ɪ k l i
pukka	p ə k ə
politician	p ɑ l ɪ t ɪ ʃ ə n
guanaco	ɡ w ə n ɑ k o ʊ
labrish	l æ b ɹ ɪ ʃ
cabby	k æ b i
fanciful	f æ n s ɪ f ə l
instil	ɪ n s t ɪ l
estimation	ɛ s t ɪ m e ɪ ʃ ə n
thriller	θ ɹ ɪ l ɚ
reached	ɹ i t͡ʃ t
latten	l æ t ə n
helluva	h ɛ l ə v ə
orangutang	ə ɹ æ ŋ u t æ ŋ
bliss	b l ɪ s
housed	h a ʊ z d
asswipe	æ s w a ɪ p
nimodipine	n ɪ m o ʊ d ɪ p i n
salyut	s ɑ l j u t
laird	l ɛ ɹ d
brits	b ɹ ɪ t s
gullible	ɡ ʌ l ɪ b l̩
nigga	n ɪ ɡ ə
hackney	h æ k n i
wigwag	w ɪ ɡ w æ ɡ
ropes	ɹ o ʊ p s
terrifying	t ɛ ɹ ɪ f a ɪ ɪ ŋ
dormitory	d ɔ ɹ m ɪ t ɔ ɹ i
knoll	n o ʊ l
intermit	ɪ n t ɚ m ɪ t
kirkcaldy	k ə ɹ k ɔ d i
solution	s ə l j u ʃ ə n
sadomasochism	s e ɪ d o ʊ m æ s ə k ɪ z ə m
pretence	p ɹ i t ɛ n s
hellbound	h ɛ l b a ʊ n d
disinfection	d ɪ s ɪ n f ɛ k ʃ ə n
wearhead	w ɪ ə ɹ h ɛ d
clams	k l æ m z
befezzed	b ə f ɛ z d
cor	k ɔ ɹ
ectypal	ɛ k t a ɪ p ə l
entourage	ɑ n t ə ɹ ɑ ʒ
slaggy	s l æ ɡ i
breezed	b ɹ i z d
reification	ɹ e ɪ ə f ə k e ɪ ʃ ə n
reciprocal	ɹ ɪ s ɪ p ɹ ə k ə l
traits	t ɹ e ɪ t s
irwin	ɝ w ɪ n
affidavit	æ f ɪ d e ɪ v ɪ t
crashing	k ɹ æ ʃ ɪ ŋ
labeouf	l ə b ʌ f
pepperoni	p ɛ p ə ɹ o ʊ n i
costard	k ɔ s t ə ɹ d
merullo	m ə ɹ u l o ʊ
spirometer	s p a ɪ ɹ ɑ m ə t ɚ
enchorial	ɛ n k ɔ ɹ i ə l
tardis	t ɑ ɹ d ɪ s
ablepharon	æ b l ɛ f ə ɹ ɑ n
klecksography	k l ɛ k s ɔ ɡ ɹ ə f i
winning	w ɪ n ɪ ŋ
firkin	f ɝ k ɪ n
zambia	z æ m b i ə
consumption	k ə n s ʌ m p ʃ ə n
misbelieving	m ɪ s b ɪ l i v ɪ ŋ
glazed	ɡ l e ɪ z d
quadraturist	k w ɔ d ɹ ə t͡ʃ ə ɹ ɪ s t
equally	i k w ə l i
abb	æ b
optical	ɑ p t ɪ k ə l
vine	v a ɪ n
amygdalas	ə m ɪ ɡ d ə l ə z
cosy	k o ʊ z i
pridnestrovie	p r i d n ɛ s t r o ʊ v j e ɪ
muon	m j u ɔ n
incoherence	ɪ n k o ʊ h ɪ ə ɹ ə n s
blushingly	b l ʌ ʃ ɪ ŋ l i
induction	ɪ n d ʌ k ʃ ə n
chez	ʃ e ɪ
venerate	v ɛ n ə ɹ e ɪ t
bunny	b ʌ n i
dare	d ɛ ɹ
deciding	d ɪ s a ɪ d ɪ ŋ
twitcher	t w ɪ t͡ʃ ə ɹ
eusebius	j u s i b i ə s
koilocytosis	k ɔ ɪ l ə s a ɪ t o ʊ s ɪ s
sligo	s l a ɪ ɡ o ʊ
gym	d͡ʒ ɪ m
gluconeogenic	ɡ l u k o ʊ n i o ʊ d͡ʒ ɛ n ɪ k
neff	n ɛ f
sac	s æ k
qazvin	k æ z v i n
stapler	s t e ɪ p l ə ɹ
tachocline	t a k o k l a ɪ n
cubic	k j u b ɪ k
introspective	ɪ n t ɹ o ʊ s p ɛ k t ɪ v
hob	h ɑ b
brest	b ɹ ɛ s t
pecuniary	p ə k j u n i ɛ ɹ i
animosity	æ n ə m ɑ s ɪ t i
hummings	h ʌ m ɪ ŋ z
helplessly	h ɛ l p l ə s l i
accruable	ə k ɹ u ə b ə l
bypass	b a ɪ p æ s
bolder	b o ʊ l d ə ɹ
hourly	a ʊ̯ ɚ l i
brumous	b ɹ u m ə s
assembly	ə s ɛ m b l i
palillogy	p ə l ɪ l ə d͡ʒ i
bye	b a ɪ
imps	ɪ m p s
lodging	l ɑ d͡ʒ ɪ ŋ
veiny	v e ɪ n i
halfway	h æ f w e ɪ
deport	d ɪ p ɔ ɹ t
troupial	t ɹ u p ɪ ə l
ingrowth	ɪ n ɡ r o ʊ θ
truchman	t ɹ ʌ t͡ʃ m ə n
scuttlebug	s k ʌ t ə l b ʌ ɡ
furnish	f ɝ n ɪ ʃ
cobbett	k ɔ b ɪ t
collected	k ə l ɛ k t ɪ d
spared	s p ɛ ɹ d
poignant	p ɔ ɪ n j ə n t
slipped	s l ɪ p t
sewell	s u ə l
touched	t ʌ t͡ʃ t
bittersweet	b ɪ t ɚ s w i t
comey	k o ʊ m i
bordeaux	b ɔ ɹ d o ʊ
saracen	s æ ɹ ə s ə n
pendice	p ɛ n d ɪ s
copeman	k o ʊ p m ə n
invest	ɪ n v ɛ s t
gaba	ɡ æ b ə
furciferous	f ə ɹ s ɪ f ə ɹ ə s
swink	s w ɪ ŋ k
distinguished	d ɪ s t ɪ ŋ ɡ w ɪ ʃ t
footle	f u t ə l
thriving	θ ɹ a ɪ v ɪ ŋ
ionize	a ɪ ə n a ɪ z
carnivorously	k ɑ ɹ n ɪ v ə ɹ ə s l i
strong	s t ɹ ɔ ŋ
combustionary	k ə m b ʌ s t͡ʃ ə n ɛ ɹ i
bettor	b ɛ t ɚ
alcaide	æ l k a ɪ d i
clutchings	k l ʌ t͡ʃ ɪ ŋ z
imped	ɪ m p t
exceptions	ə k s ɛ p ʃ ə n z
scrimshander	s k ɹ ɪ m ʃ æ n d ə
velvety	v ɛ l v ə t i
unreasonable	ʌ n ɹ i z ə n ə b l̩
hah	h ɑ
salvation	s æ l v e ɪ ʃ ə n
boink	b ɔ ɪ ŋ k
euphonious	j u f o ʊ n i ə s
raymond	ɹ e ɪ m ə n d
aberuncate	æ b ə ɹ ʌ ŋ k e ɪ t
rhetorician	ɹ ɛ t ə ɹ ɪ ʃ ə n
kontor	k ɑ n t ɔ ɹ
teachy	t i t͡ʃ i
mammiferous	m æ m ɪ f ə ɹ ə s
sleuthhound	s l u θ h a ʊ n d
versatility	v ə ɹ s ə t ɪ l ɪ t i
elder	ɛ l d ɚ
fungo	f ʌ ŋ ɡ o ʊ
millions	m ɪ l j ə n z
havana	h ə v æ n ə
boggle	b ɑ ɡ ə l
born	b ɔ ɹ n
neutrophilia	n j u t ɹ ə f ɪ l ɪ ə
blooper	b l u p ɚ
berkhamsted	b ɜ ɹ k ə m s t ɛ d
ulyanovsk	ʊ l j ɑ n ɔ f s k
woulda	w ʊ d ə
emodepside	ɛ m ə d ɛ p s a ɪ d
bloating	b l o ʊ t ɪ ŋ
zikawei	z i k ɑ w e ɪ
certainty	s ɝ t n̩ t i
frances	f ɹ æ n s ɪ z
bulk	b ʌ l k
bryozoan	b ɹ ɑ ɪ ə z o ʊ ə n
imbros	ɪ m b ɹ ɔ s
saucery	s ɔ s ə ɹ i
crushed	k ɹ ʌ ʃ t
interjacence	ɪ n t ə ɹ d͡ʒ e ɪ s ə n s
backwardly	b æ k w ɚ d l i
charadriidae	t͡ʃ æ ɹ ə d ɹ a ɪ ɪ d ɪ
sinking	s ɪ ŋ k ɪ ŋ
nomen	n o ʊ m ə n
kick	k ɪ k
graced	ɡ ɹ e ɪ s t
nicotine	n ɪ k ə t i n
incidents	ɪ n s ɪ d ə n t s
korephile	k ɔ ɹ ɪ f a ɪ l
roque	ɹ o ʊ k
demo	d ɛ m o ʊ
missing	m ɪ s ɪ ŋ
tenacious	t ə n e ɪ ʃ ə s
nobles	n o ʊ b l̩ z
caller	k ɔ l ɚ
adjudicator	æ d͡ʒ u d ɪ k e ɪ t ɔ ɹ
tentatively	t ɛ n t ə t ɪ v l i
completely	k ə m p l i t l i
campy	k æ m p i
hagged	h æ ɡ d
yikes	j a ɪ k s
depression	d ə p ɹ ɛ ʃ ə n
pigtail	p ɪ ɡ t e ɪ l
bullock	b ʊ l ə k
insidiously	ɪ n s ɪ d i ə s l i
published	p ʌ b l ɪ ʃ t
maliseet	m æ l ə s i t
emtricitabine	ɛ m t ɹ ɪ s a ɪ t ə b i n
starkable	s t ɑ ɹ k ə b ə l
monologic	m ɑ n ə l ɑ d͡ʒ ɪ k
acle	e ɪ k ə l
misordering	m ɪ s ɔ ɹ d ə ɹ ɪ ŋ
confetti	k ə n f ɛ t i
deviceful	d ɪ v a ɪ s f ə l
creeded	k ɹ i d ɪ d
continuously	k ə n t ɪ n j u ə s l i
lemniscus	l ɛ m n ɪ s k ə s
lymecycline	l a ɪ m ə s a ɪ k l i n
guilting	ɡ ɪ l t ɪ ŋ
persuasion	p ɚ s w e ɪ ʒ ə n
gotta	ɡ ɑ t ə
kneel	n i l
yelping	j ɛ l p ɪ ŋ
irrespective	ɪ ɹ ɪ s p ɛ k t ɪ v
bewilderment	b ɪ w ɪ l d ə ɹ m ə n t
climax	k l a ɪ m æ k s
linus	l a ɪ n ə s
baud	b ɔ d
abocclusion	æ b o ʊ k l u ʒ n̩
paregoric	p ɛ ɹ ɪ ɡ ɔ ɹ ɪ k
delving	d ɛ l v ɪ ŋ
kim	k ɪ m
strategist	s t ɹ æ t ə d͡ʒ ɪ s t
socrates	s ɑ k ɹ ə t i z
admired	ə d m a ɪ ɹ d
carnaroli	k ɑ ɹ n ə ɹ o ʊ l i
duppy	d ʌ p i
auranofin	ɔ ɹ æ n ə f ɪ n
publicize	p ʌ b l ɪ s a ɪ z
dummy	d ʌ m i
sooner	s u n ɚ
debuts	d e ɪ b j u z
banishment	b æ n ɪ ʃ m ə n t
mycologist	m a ɪ k ɑ l ə d͡ʒ ɪ s t
promote	p ɹ ə m o ʊ t
baddie	b æ d i
portadown	p ɔ ɹ t ə d a ʊ n
guides	ɡ a ɪ d z
ioannina	j ɔ ɑ n i n ɑ
condominium	k ɑ n d ə m ɪ n i ə m
pocklington	p ɔ k l ɪ ŋ t ə n
ejulation	ɛ d͡ʒ ʊ l e ɪ ʃ ə n
impend	ɪ m p ɛ n d
errant	ɛ ɹ ə n t
fiefs	fː i f s
seymour	s i m ɔ ɹ
antsy	æ n t s i
fistle	f ɪ s ə l
papenburg	p æ p ə n b ɜ ɡ
sexes	s ɛ k s ɪ z
invariable	ɪ n v ɛ ɹ i ə b l̩
enhance	ɪ n h æ n s
